id,city,price,area,years_of_construction,number_of_rooms,have_balcony,have_garage,rating,category
1285,Paris,1080797,84,2022,1,0,0,4.0,high
1286,Paris,765258,61,2012,2,0,0,4.0,high
1287,Lyon,740546,126,2009,3,1,1,4.3,medium
1288,Lyon,359672,50,2014,2,1,0,4.0,high
1289,Paris,381455,36,2023,1,0,0,3.2,medium
1290,Lyon,543493,88,2012,2,0,1,3.7,medium
1291,Marseille,499281,97,2023,1,1,0,3.5999999999999996,high
1292,Marseille,469917,115,2008,2,1,1,3.8999999999999995,medium
1293,Paris,540957,51,2021,2,0,0,3.8,medium
1294,Marseille,343974,95,2011,1,1,0,2.8,medium
1295,Marseille,514786,113,2024,3,1,1,4.199999999999999,medium
1296,Marseille,229294,67,2009,1,0,0,2.5,medium
1297,Paris,946882,81,2008,2,1,0,3.8,medium
1298,Marseille,365382,81,2021,1,1,1,3.5999999999999996,medium
1299,Lyon,497791,61,2016,2,0,0,4.0,high
1300,Marseille,668451,135,2014,3,0,0,3.5999999999999996,high
1301,Marseille,501338,138,2007,2,1,0,3.0999999999999996,medium
1302,Paris,278437,27,2009,1,0,0,2.9000000000000004,medium
1303,Marseille,376642,105,2008,3,1,0,3.3999999999999995,medium
1304,Marseille,216133,60,2019,1,1,0,3.0999999999999996,medium
1305,Paris,1107927,100,2009,2,1,0,3.8,medium
1306,Marseille,547688,110,2009,3,1,0,3.8999999999999995,high
1307,Lyon,288575,58,2017,1,1,0,3.5,medium
1308,Lyon,733585,94,2016,1,1,1,4.5,high
1309,Paris,995567,78,2021,2,1,0,4.6,high
1310,Lyon,442832,65,2011,2,0,0,3.7,high
1311,Paris,779635,72,2022,2,1,0,4.1,medium
1312,Marseille,606609,114,2023,2,1,1,4.199999999999999,medium
1313,Marseille,250321,60,2005,1,0,0,2.2,medium
1314,Lyon,469375,96,2006,2,0,0,2.9000000000000004,medium
1315,Marseille,482546,111,2016,2,1,1,4.199999999999999,medium
1316,Paris,975804,94,2024,1,0,0,3.5,medium
1317,Paris,417143,41,2015,1,0,0,3.2,medium
1318,Lyon,658604,99,2020,1,0,0,3.7,high
1319,Marseille,343133,73,2009,1,1,0,2.8,medium
1320,Marseille,410693,73,2017,2,1,0,3.8999999999999995,high
1321,Lyon,428605,107,2015,2,1,0,3.3,low
1322,Paris,1521808,90,2023,2,1,0,4.6,high
1323,Marseille,604050,123,2009,3,1,0,3.8999999999999995,high
1324,Marseille,469894,119,2009,3,1,1,3.8999999999999995,medium
1325,Lyon,739046,150,2011,4,0,1,4.3,medium
1326,Paris,502647,45,2023,1,0,0,4.0,high
1327,Paris,385248,25,2022,1,0,0,3.7,high
1328,Marseille,498043,127,2016,3,1,0,3.6999999999999993,medium
1329,Lyon,599286,87,2024,2,1,0,4.3,high
1330,Paris,1181478,89,2023,1,1,0,4.3,high
1331,Lyon,459467,74,2018,1,1,0,3.5,medium
1332,Lyon,317439,58,2020,2,0,0,3.5,medium
1333,Lyon,428054,84,2016,2,1,1,4.3,medium
1334,Lyon,694086,140,2009,3,1,1,3.8,low
1335,Paris,532931,39,2020,1,0,0,3.7,high
1336,Paris,386115,41,2020,1,0,0,3.5,medium
1337,Paris,341144,32,2007,1,0,0,2.6000000000000005,medium
1338,Marseille,365626,81,2020,2,1,0,3.3999999999999995,medium
1339,Lyon,891980,118,2024,2,0,1,4.8,high
1340,Marseille,568251,136,2020,2,0,1,3.8999999999999995,medium
1341,Lyon,905777,142,2018,3,0,0,4.3,high
1342,Paris,487175,53,2020,1,1,0,3.8,medium
1343,Paris,987536,85,2021,1,0,0,4.0,high
1344,Marseille,903584,168,2017,3,1,0,4.199999999999999,high
1345,Lyon,539116,78,2023,2,0,0,4.0,high
1346,Lyon,634551,141,2005,3,1,1,3.5,low
1347,Lyon,854777,143,2009,2,1,0,3.8,medium
1348,Paris,794097,85,2007,2,0,0,3.2,medium
1349,Lyon,351174,58,2017,2,0,0,4.0,high
1350,Lyon,235722,50,2013,1,0,0,2.9000000000000004,medium
1351,Lyon,652297,113,2016,2,1,1,4.6,medium
1352,Lyon,244143,50,2005,2,1,0,3.2,medium
1353,Lyon,434759,78,2012,2,1,0,3.5,medium
1354,Lyon,309585,58,2014,1,0,0,2.9000000000000004,medium
1355,Lyon,461003,69,2019,2,0,0,4.0,high
1356,Marseille,307137,60,2024,1,0,0,3.3,high
1357,Paris,807958,69,2013,1,0,0,3.7,high
1358,Marseille,371861,111,2006,2,1,1,3.0999999999999996,low
1359,Paris,591404,57,2011,2,0,0,3.5,medium
1360,Paris,330729,27,2012,1,0,0,3.4000000000000004,high
1361,Marseille,326177,81,2014,2,1,1,3.5999999999999996,medium
1362,Paris,582018,52,2024,2,0,0,4.3,high
1363,Lyon,479287,67,2023,1,1,0,4.0,high
1364,Paris,371832,33,2011,1,0,0,3.4000000000000004,high
1365,Paris,629545,49,2014,1,0,0,3.7,high
1366,Paris,621091,55,2017,1,0,0,4.0,high
1367,Marseille,915823,148,2020,2,1,1,4.699999999999999,high
1368,Marseille,714891,128,2020,2,0,1,4.3999999999999995,high
1369,Marseille,778330,145,2016,3,1,0,4.199999999999999,high
1370,Marseille,318859,60,2018,1,1,0,3.5999999999999996,high
1371,Paris,854920,70,2017,2,1,0,4.1,medium
1372,Lyon,715601,91,2022,1,1,0,4.0,high
1373,Paris,681636,54,2017,2,0,0,4.3,high
1374,Marseille,898658,154,2023,3,1,1,4.699999999999999,high
1375,Paris,531835,44,2020,1,0,0,4.0,high
1376,Lyon,683928,94,2024,1,1,1,4.0,medium
1377,Paris,700849,44,2015,1,0,0,3.7,high
1378,Paris,975315,100,2016,3,0,1,4.3,medium
1379,Paris,410418,53,2010,2,0,0,3.5,medium
1380,Lyon,771645,131,2011,2,0,0,4.0,high
1381,Marseille,214940,60,2006,1,1,0,2.5,medium
1382,Paris,1152756,78,2023,1,0,0,4.0,high
1383,Marseille,479987,69,2021,1,0,0,1.0,scam
1384,Lyon,599457,77,2019,2,0,0,4.0,high
1385,Paris,340455,47,2019,1,0,0,3.0,low
1386,Lyon,298678,59,2008,2,0,0,3.2,medium
1387,Lyon,715155,110,2007,3,1,1,4.0,medium
1388,Paris,499427,42,2023,1,0,0,4.0,high
1389,Paris,510712,61,2016,2,0,0,3.8,medium
1390,Paris,503245,44,2005,1,0,0,3.4000000000000004,high
1391,Paris,681951,57,2013,1,1,0,3.5,medium
1392,Marseille,635911,120,2017,3,1,1,4.199999999999999,medium
1393,Lyon,704664,110,2024,2,0,0,4.3,high
1394,Paris,870568,72,2014,2,1,0,3.8,medium
1395,Marseille,587634,108,2007,3,1,1,3.5999999999999996,medium
1396,Lyon,555566,82,2011,1,1,1,3.7,medium
1397,Lyon,618851,102,2017,3,0,0,4.3,high
1398,Marseille,144164,60,2012,2,1,0,2.5999999999999996,low
1399,Marseille,324518,60,2021,2,1,0,3.8999999999999995,high
1400,Paris,828660,87,2014,1,1,0,3.5,medium
1401,Marseille,436061,77,2022,2,1,0,3.8999999999999995,high
1402,Marseille,857835,172,2011,3,1,1,3.8999999999999995,medium
1403,Paris,691155,65,2022,2,0,0,3.8,medium
1404,Marseille,386989,117,2005,2,1,0,3.0999999999999996,medium
1405,Lyon,643363,72,2023,1,1,0,4.0,high
1406,Lyon,602618,73,2024,2,1,0,4.3,high
1407,Lyon,210902,56,2014,1,0,0,2.4000000000000004,low
1408,Lyon,600139,113,2017,3,1,1,4.6,medium
1409,Paris,841855,75,2019,2,0,0,4.3,high
1410,Lyon,910475,139,2010,2,1,1,4.3,medium
1411,Paris,602628,72,2020,1,1,0,3.8,medium
1412,Paris,593281,42,2018,1,0,0,4.0,high
1413,Lyon,391903,51,2022,2,1,0,4.3,high
1414,Paris,746409,72,2013,1,1,0,3.5,medium
1415,Lyon,797421,93,2011,1,1,1,4.2,high
1416,Paris,776689,59,2016,2,0,0,4.3,high
1417,Lyon,668418,110,2011,3,1,1,4.3,medium
1418,Marseille,412773,88,2019,2,0,0,3.5999999999999996,high
1419,Lyon,544871,98,2008,1,1,1,3.7,medium
1420,Marseille,296188,60,2023,2,0,0,3.5999999999999996,high
1421,Marseille,245220,60,2021,2,0,0,3.0999999999999996,medium
1422,Paris,665775,48,2018,1,0,0,4.0,high
1423,Marseille,363356,81,2010,1,1,0,2.8,medium
1424,Marseille,174906,60,2006,2,1,0,2.3,low
1425,Paris,741478,63,2018,1,0,0,4.0,high
1426,Lyon,397296,63,2012,1,1,0,3.2,medium
1427,Lyon,709853,81,2024,1,1,1,4.5,high
1428,Marseille,664912,172,2008,3,0,1,3.5999999999999996,medium
1429,Lyon,426916,100,2006,3,0,1,2.9000000000000004,low
1430,Marseille,404630,106,2017,2,1,1,4.199999999999999,medium
1431,Paris,459248,45,2011,1,0,0,3.2,medium
1432,Marseille,787089,180,2015,4,1,1,4.199999999999999,medium
1433,Paris,360809,36,2010,1,0,0,2.9000000000000004,medium
1434,Lyon,217234,50,2016,2,0,0,3.5,medium
1435,Lyon,1025282,139,2022,2,0,0,4.3,high
1436,Marseille,889347,163,2015,4,1,1,4.199999999999999,medium
1437,Marseille,945593,172,2013,3,1,1,3.8999999999999995,medium
1438,Paris,378476,41,2016,1,0,0,3.5,medium
1439,Lyon,396835,50,2021,2,0,0,4.0,high
1440,Lyon,305704,50,2019,2,1,0,3.8,medium
1441,Marseille,359178,71,2023,1,0,0,3.3,high
1442,Lyon,712299,107,2018,3,1,1,4.6,medium
1443,Paris,453275,42,2014,1,0,0,3.2,medium
1444,Marseille,452784,107,2018,3,1,1,4.199999999999999,medium
1445,Marseille,641909,133,2014,3,1,1,3.8999999999999995,medium
1446,Marseille,500852,100,2009,3,1,0,3.5999999999999996,high
1447,Lyon,481323,89,2011,2,1,1,4.0,medium
1448,Paris,631810,51,2021,1,1,0,4.3,high
1449,Marseille,364141,78,2024,1,1,0,3.0999999999999996,medium
1450,Paris,650661,64,2005,2,0,0,3.2,medium
1451,Lyon,381780,50,2018,2,1,0,4.3,high
1452,Paris,328629,32,2023,1,0,0,3.2,medium
1453,Paris,379701,47,2012,1,0,0,3.2,medium
1454,Marseille,262653,64,2021,1,0,0,2.8,medium
1455,Paris,678884,46,2024,1,0,0,4.0,high
1456,Paris,607497,90,2005,2,1,0,3.0,low
1457,Marseille,482334,113,2007,3,1,0,3.0999999999999996,medium
1458,Lyon,454602,75,2021,2,0,0,4.0,high
1459,Lyon,196513,63,2006,1,0,0,2.1000000000000005,low
1460,Paris,356282,37,2014,1,0,0,2.9000000000000004,medium
1461,Marseille,515294,132,2019,3,1,0,3.6999999999999993,medium
1462,Marseille,612311,143,2012,3,1,1,3.8999999999999995,medium
1463,Lyon,324355,72,2016,2,1,0,3.8,medium
1464,Lyon,556997,105,2009,2,0,0,3.5,medium
1465,Paris,794171,93,2010,1,0,0,3.2,medium
1466,Marseille,338044,112,2005,3,1,0,2.5999999999999996,low
1467,Marseille,495043,103,2005,2,1,0,3.0999999999999996,medium
1468,Marseille,283182,60,2022,1,0,0,3.3,high
1469,Paris,560129,54,2012,2,0,0,3.5,medium
1470,Marseille,806458,116,2024,2,1,1,4.699999999999999,high
1471,Paris,643821,67,2019,1,0,0,3.5,medium
1472,Paris,804021,68,2012,2,1,0,3.8,medium
1473,Paris,549477,55,2008,2,1,0,3.8,medium
1474,Paris,423042,34,2018,1,0,0,3.7,high
1475,Paris,307064,41,2008,1,0,0,3.2,medium
1476,Paris,713649,69,2020,2,1,0,4.1,medium
1477,Marseille,375211,82,2011,2,1,0,3.0999999999999996,medium
1478,Lyon,715131,114,2022,2,1,1,4.6,medium
1479,Lyon,421588,74,2024,1,1,0,3.5,medium
1480,Marseille,877112,180,2015,3,1,0,3.8999999999999995,high
1481,Paris,806640,75,2008,2,0,0,3.5,medium
1482,Paris,428971,47,2018,1,0,0,3.5,medium
1483,Lyon,591032,96,2016,1,0,1,3.7,medium
1484,Marseille,510035,134,2005,3,0,0,2.8,medium
1485,Lyon,981726,148,2009,3,1,1,4.3,medium
1486,Marseille,558537,138,2014,3,1,0,3.3999999999999995,medium
1487,Marseille,329664,73,2022,2,0,0,3.5999999999999996,high
1488,Lyon,653381,80,2013,1,1,0,3.7,high
1489,Paris,543459,52,2022,1,1,0,3.8,medium
1490,Paris,473857,38,2013,1,0,0,3.4000000000000004,high
1491,Paris,492739,52,2015,2,0,0,3.5,medium
1492,Marseille,588480,110,2011,2,1,1,3.8999999999999995,medium
1493,Lyon,333742,88,2010,2,1,0,3.0,low
1494,Lyon,371429,77,2014,1,1,0,3.2,medium
1495,Lyon,380593,103,2009,3,1,1,3.8,low
1496,Marseille,533236,84,2021,2,1,0,3.8999999999999995,high
1497,Paris,668018,72,2012,2,1,0,3.8,medium
1498,Marseille,714893,132,2016,2,1,1,4.199999999999999,medium
1499,Lyon,499259,92,2014,2,1,0,3.5,medium
1500,Lyon,317191,50,2019,2,0,0,4.0,high
1501,Lyon,378731,71,2015,2,1,0,3.5,medium
1502,Marseille,331117,91,2006,1,1,0,2.5,medium
1503,Marseille,504458,111,2008,2,0,0,3.5999999999999996,high
1504,Marseille,666326,128,2021,3,1,0,4.199999999999999,high
1505,Marseille,443714,83,2017,1,1,1,3.5999999999999996,medium
1506,Lyon,965021,140,2012,2,1,0,4.3,high
1507,Marseille,715504,139,2013,3,1,0,3.8999999999999995,high
1508,Paris,430298,38,2011,1,0,0,3.4000000000000004,high
1509,Lyon,318241,50,2008,2,1,0,3.5,medium
1510,Lyon,307668,77,2009,1,1,0,2.7,low
1511,Paris,334735,29,2007,1,0,0,3.1000000000000005,high
1512,Lyon,482093,102,2011,3,0,1,4.0,medium
1513,Lyon,415706,70,2017,2,0,0,4.0,high
1514,Paris,750613,47,2023,1,0,0,4.0,high
1515,Marseille,346006,111,2006,3,1,1,3.0999999999999996,low
1516,Marseille,485556,93,2023,2,1,0,3.8999999999999995,high
1517,Paris,567545,53,2013,1,0,0,3.2,medium
1518,Marseille,428070,101,2021,2,0,0,3.3999999999999995,medium
1519,Paris,901192,70,2005,1,0,0,3.4000000000000004,high
1520,Paris,876868,67,2023,2,0,0,4.3,high
1521,Paris,925050,98,2009,2,0,0,3.5,medium
1522,Lyon,287984,50,2016,1,0,0,3.2,medium
1523,Marseille,432166,168,2013,4,1,1,3.6999999999999993,low
1524,Marseille,224715,60,2012,1,0,0,2.5,medium
1525,Paris,302309,25,2013,1,0,0,3.4000000000000004,high
1526,Paris,1299521,78,2023,1,0,0,4.0,high
1527,Paris,505137,55,2017,1,0,0,3.5,medium
1528,Marseille,662214,164,2009,3,1,0,3.3999999999999995,medium
1529,Marseille,268381,60,2014,1,0,0,3.0,high
1530,Paris,573826,45,2018,1,0,0,4.0,high
1531,Lyon,484986,92,2021,1,0,1,3.7,medium
1532,Paris,1043047,86,2016,1,1,0,3.8,medium
1533,Paris,443357,55,2014,2,1,0,3.3,low
1534,Paris,933461,68,2024,1,0,0,4.0,high
1535,Paris,699619,63,2013,2,1,0,3.8,medium
1536,Paris,794797,68,2013,2,1,0,3.8,medium
1537,Marseille,245899,60,2007,1,0,0,2.2,medium
1538,Paris,608394,44,2018,1,0,0,4.0,high
1539,Lyon,473380,69,2024,1,0,0,3.7,high
1540,Lyon,414615,70,2018,1,0,0,3.7,high
1541,Paris,967122,93,2014,1,0,0,3.2,medium
1542,Lyon,551698,91,2020,2,1,1,4.3,medium
1543,Paris,682887,64,2012,2,0,0,3.5,medium
1544,Lyon,757341,121,2010,3,1,0,3.8,medium
1545,Lyon,318438,60,2011,2,0,0,3.2,medium
1546,Paris,612541,64,2005,2,0,0,3.2,medium
1547,Paris,546938,60,2017,1,1,0,3.8,medium
1548,Marseille,472354,147,2016,3,0,0,3.3999999999999995,medium
1549,Paris,281377,37,2010,1,0,0,2.9000000000000004,medium
1550,Paris,365111,39,2012,1,0,0,2.9000000000000004,medium
1551,Lyon,530638,112,2013,3,0,1,4.0,medium
1552,Lyon,683092,76,2024,1,1,0,4.0,high
1553,Paris,693634,54,2012,1,0,0,3.7,high
1554,Paris,584779,64,2013,2,0,0,3.5,medium
1555,Paris,715378,71,2008,1,1,0,3.5,medium
1556,Lyon,552092,87,2022,2,1,1,4.3,medium
1557,Lyon,359665,78,2022,1,1,0,3.5,medium
1558,Paris,720010,56,2023,2,0,0,4.3,high
1559,Paris,615651,62,2022,2,0,0,3.8,medium
1560,Marseille,278913,60,2017,2,1,0,3.3999999999999995,medium
1561,Marseille,258719,60,2005,2,1,0,2.8,medium
1562,Marseille,339126,60,2024,2,0,0,3.5999999999999996,high
1563,Lyon,892503,141,2013,2,0,0,4.0,high
1564,Paris,534950,53,2008,2,0,0,3.5,medium
1565,Marseille,492876,92,2024,1,1,0,3.5999999999999996,high
1566,Paris,596127,59,2005,1,0,0,2.9000000000000004,medium
1567,Lyon,379925,66,2016,2,0,0,3.5,medium
1568,Paris,402065,36,2014,1,0,0,3.4000000000000004,high
1569,Paris,787555,66,2016,1,1,0,3.8,medium
1570,Marseille,592307,149,2019,2,1,0,3.6999999999999993,medium
1571,Paris,416861,48,2011,1,0,0,3.2,medium
1572,Paris,969719,79,2021,1,0,0,4.0,high
1573,Paris,297870,31,2020,1,0,0,3.2,medium
1574,Paris,543007,62,2006,2,0,0,3.2,medium
1575,Marseille,432747,114,2021,3,1,1,3.6999999999999993,low
1576,Marseille,434853,60,2024,1,1,0,3.5999999999999996,high
1577,Marseille,592762,126,2022,3,1,0,3.6999999999999993,medium
1578,Marseille,375431,79,2012,2,1,0,3.0999999999999996,medium
1579,Lyon,575171,100,2018,3,1,1,4.3,medium
1580,Paris,428166,38,2012,1,0,0,3.4000000000000004,high
1581,Paris,851219,88,2014,1,0,0,3.2,medium
1582,Lyon,527261,90,2005,1,1,1,3.4000000000000004,medium
1583,Lyon,500864,97,2012,1,1,0,3.2,medium
1584,Marseille,342397,60,2023,2,0,0,3.5999999999999996,high
1585,Paris,404242,35,2010,1,0,0,3.4000000000000004,high
1586,Lyon,540214,90,2019,2,1,1,4.3,medium
1587,Marseille,246995,62,2019,1,1,0,3.0999999999999996,medium
1588,Marseille,598701,141,2015,3,1,1,3.8999999999999995,medium
1589,Marseille,493011,99,2008,1,1,0,3.3,high
1590,Marseille,401998,104,2014,3,1,0,3.3999999999999995,medium
1591,Paris,1012465,77,2023,2,0,0,4.3,high
1592,Paris,858974,58,2022,2,0,0,4.3,high
1593,Marseille,411833,108,2007,3,0,0,2.8,medium
1594,Marseille,854407,180,2006,3,1,0,3.0999999999999996,medium
1595,Lyon,395110,89,2019,1,1,1,3.5,low
1596,Paris,532162,56,2009,2,0,0,3.5,medium
1597,Marseille,280883,84,2018,1,0,0,2.8,medium
1598,Paris,269033,26,2010,1,0,0,2.9000000000000004,medium
1599,Marseille,438931,83,2022,2,0,0,3.5999999999999996,high
1600,Lyon,899228,110,2024,2,1,1,5.0,high
1601,Marseille,951982,174,2016,3,1,0,4.199999999999999,high
1602,Marseille,365093,83,2011,2,1,0,3.0999999999999996,medium
1603,Marseille,488775,127,2006,2,0,1,3.3,medium
1604,Lyon,541525,88,2011,1,0,0,3.4000000000000004,high
1605,Paris,831357,75,2011,1,0,0,3.2,medium
1606,Lyon,375545,104,2009,3,1,0,3.3,low
1607,Marseille,317243,60,2023,1,0,0,3.3,high
1608,Lyon,382832,77,2014,1,0,0,2.9000000000000004,medium
1609,Lyon,536566,85,2019,1,0,1,3.7,medium
1610,Marseille,624659,132,2022,3,1,0,3.6999999999999993,medium
1611,Marseille,298685,60,2015,1,0,0,3.0,high
1612,Lyon,485521,115,2008,3,1,0,3.3,low
1613,Marseille,438653,65,2017,1,1,0,3.5999999999999996,high
1614,Marseille,889382,180,2011,4,1,1,4.199999999999999,medium
1615,Lyon,402163,68,2017,2,1,0,3.8,medium
1616,Paris,713872,57,2022,2,0,0,4.3,high
1617,Paris,560892,59,2005,2,0,0,3.2,medium
1618,Marseille,418215,95,2023,1,0,0,3.3,high
1619,Lyon,268081,56,2024,2,1,0,3.8,medium
1620,Paris,748925,66,2019,2,0,0,4.3,high
1621,Marseille,526651,108,2015,2,1,1,3.8999999999999995,medium
1622,Marseille,354620,94,2019,2,0,0,3.0999999999999996,medium
1623,Paris,859304,96,2012,2,1,1,3.8,low
1624,Paris,523431,49,2015,1,0,0,3.2,medium
1625,Lyon,197036,57,2007,2,1,0,2.7,low
1626,Lyon,230369,50,2007,1,1,0,2.9000000000000004,medium
1627,Paris,867192,66,2020,2,1,0,4.6,high
1628,Lyon,526043,74,2005,2,1,0,3.7,high
1629,Lyon,891363,123,2022,2,1,0,4.6,high
1630,Marseille,231717,60,2018,1,1,0,3.0999999999999996,medium
1631,Paris,269030,39,2009,1,0,0,2.4000000000000004,low
1632,Lyon,529472,78,2015,1,1,0,3.7,high
1633,Marseille,350781,88,2009,2,0,1,3.3,medium
1634,Paris,1088043,82,2017,2,0,0,4.3,high
1635,Lyon,532615,141,2014,2,1,0,3.3,low
1636,Lyon,525466,119,2005,3,1,1,3.5,low
1637,Paris,947496,84,2021,1,1,0,3.8,medium
1638,Lyon,510116,83,2020,1,1,0,3.5,medium
1639,Paris,196536,22,2019,1,0,0,3.2,medium
1640,Marseille,727201,175,2015,4,1,1,4.199999999999999,medium
1641,Marseille,343962,66,2017,2,0,0,3.5999999999999996,high
1642,Lyon,310682,50,2010,2,1,0,3.5,medium
1643,Paris,548066,70,2006,1,0,0,2.9000000000000004,medium
1644,Lyon,524259,65,2021,2,0,0,4.0,high
1645,Marseille,315904,78,2015,2,0,0,2.8,medium
1646,Lyon,897639,129,2020,3,0,0,4.3,high
1647,Lyon,446679,84,2013,2,0,0,3.2,medium
1648,Paris,510908,62,2005,2,0,0,3.2,medium
1649,Paris,417976,36,2006,1,0,0,3.1000000000000005,high
1650,Marseille,569294,140,2005,3,1,0,3.0999999999999996,medium
1651,Marseille,337063,142,2014,3,1,0,2.8999999999999995,low
1652,Paris,601279,60,2005,2,1,0,3.5,medium
1653,Paris,839660,68,2006,1,1,0,3.7,high
1654,Lyon,827411,96,2021,2,1,0,4.3,high
1655,Marseille,253907,87,2009,1,1,1,2.8,low
1656,Paris,647933,58,2018,1,1,0,3.8,medium
1657,Paris,292253,35,2005,1,0,0,2.6000000000000005,medium
1658,Lyon,435284,61,2017,1,1,0,4.0,high
1659,Paris,1052728,77,2019,2,1,0,4.6,high
1660,Lyon,565318,86,2011,1,1,0,3.7,high
1661,Paris,648437,63,2008,1,0,0,3.2,medium
1662,Lyon,333248,50,2013,2,0,0,3.7,high
1663,Lyon,311955,72,2021,1,1,0,3.5,medium
1664,Paris,495009,62,2017,2,0,0,3.8,medium
1665,Paris,487022,51,2007,2,0,0,3.2,medium
1666,Marseille,539335,124,2019,3,1,1,4.199999999999999,medium
1667,Lyon,445697,50,2020,1,0,0,1.2000000000000002,scam
1668,Lyon,391792,83,2012,2,1,0,3.5,medium
1669,Lyon,712949,74,2021,2,1,0,1.8000000000000003,scam
1670,Paris,558087,59,2006,1,1,0,3.2,medium
1671,Paris,632644,60,2015,2,0,0,3.5,medium
1672,Paris,437554,41,2005,1,0,0,2.9000000000000004,medium
1673,Lyon,581973,86,2023,1,1,1,4.0,medium
1674,Marseille,369427,136,2007,3,1,1,3.0999999999999996,low
1675,Paris,720800,59,2016,1,0,0,4.0,high
1676,Marseille,517757,99,2015,2,1,0,3.5999999999999996,high
1677,Paris,605158,50,2020,1,0,0,4.0,high
1678,Marseille,361328,98,2008,1,0,0,2.5,medium
1679,Paris,351780,36,2015,1,0,0,2.9000000000000004,medium
1680,Paris,694544,58,2016,2,0,0,4.3,high
1681,Lyon,712158,115,2015,3,1,1,4.3,medium
1682,Marseille,324722,78,2011,1,1,0,2.8,medium
1683,Marseille,763643,158,2020,3,0,1,3.8999999999999995,medium
1684,Paris,253521,36,2006,1,0,0,2.1000000000000005,low
1685,Lyon,158805,50,2007,2,0,0,2.4000000000000004,low
1686,Paris,445617,41,2010,1,0,0,3.2,medium
1687,Marseille,311628,99,2006,2,1,0,2.3,low
1688,Marseille,785072,139,2019,2,1,0,4.199999999999999,high
1689,Marseille,141213,60,2011,1,0,0,1.9999999999999998,low
1690,Paris,375158,38,2018,1,0,0,3.2,medium
1691,Paris,548324,54,2014,2,0,0,3.5,medium
1692,Lyon,527704,90,2010,1,1,1,3.7,medium
1693,Marseille,261879,60,2011,2,0,0,2.8,medium
1694,Marseille,416533,147,2017,3,1,0,3.1999999999999993,low
1695,Lyon,239489,50,2024,2,1,0,3.8,medium
1696,Lyon,521946,104,2008,3,0,1,4.0,medium
1697,Paris,332697,46,2007,1,0,0,2.4000000000000004,low
1698,Paris,699673,58,2024,2,0,0,4.3,high
1699,Lyon,483841,107,2005,3,1,0,3.5,medium
1700,Paris,229894,24,2010,1,0,0,2.9000000000000004,medium
1701,Paris,462547,55,2013,1,0,0,3.2,medium
1702,Lyon,174553,80,2012,2,1,0,3.0,low
1703,Lyon,286493,52,2008,2,0,0,3.2,medium
1704,Marseille,289140,78,2009,2,1,0,3.0999999999999996,medium
1705,Marseille,600676,121,2020,2,0,1,3.8999999999999995,medium
1706,Marseille,528089,115,2013,3,1,0,3.3999999999999995,medium
1707,Lyon,311148,56,2006,2,1,0,3.2,medium
1708,Marseille,399193,125,2014,3,1,0,2.8999999999999995,low
1709,Marseille,525217,102,2013,3,1,0,3.8999999999999995,high
1710,Marseille,728606,116,2024,3,0,0,3.8999999999999995,high
1711,Marseille,639906,125,2012,2,1,0,3.8999999999999995,high
1712,Marseille,269367,90,2005,2,1,1,2.8,low
1713,Paris,420971,48,2018,1,0,0,3.5,medium
1714,Marseille,406062,80,2014,2,1,0,3.5999999999999996,high
1715,Paris,243181,20,2019,1,0,0,3.7,high
1716,Paris,472604,54,2019,1,0,0,3.5,medium
1717,Paris,528000,51,2021,2,0,0,3.8,medium
1718,Paris,419039,36,2014,1,0,0,3.4000000000000004,high
1719,Paris,871973,100,2012,2,0,0,3.5,medium
1720,Paris,688786,68,2015,2,0,0,3.5,medium
1721,Paris,327902,43,2007,1,0,0,2.9000000000000004,medium
1722,Lyon,249808,52,2013,2,0,0,3.2,medium
1723,Paris,455333,53,2005,1,1,0,3.2,medium
1724,Lyon,772717,97,2020,1,0,0,3.7,high
1725,Marseille,391213,85,2020,1,1,0,3.0999999999999996,medium
1726,Paris,582321,44,2019,1,0,0,4.0,high
1727,Paris,670276,62,2021,2,0,0,3.8,medium
1728,Paris,865122,72,2018,2,1,0,4.1,medium
1729,Paris,597030,42,2019,1,0,0,4.0,high
1730,Lyon,762775,96,2017,1,0,0,3.7,high
1731,Lyon,349673,58,2023,2,0,0,4.0,high
1732,Paris,1157185,81,2015,1,1,1,4.0,medium
1733,Marseille,239359,64,2010,1,0,0,2.5,medium
1734,Lyon,519295,84,2020,2,1,1,4.3,medium
1735,Lyon,223138,50,2015,1,1,0,3.2,medium
1736,Paris,864251,93,2012,2,0,0,3.5,medium
1737,Lyon,245016,50,2011,1,0,0,2.9000000000000004,medium
1738,Marseille,461114,69,2021,2,0,0,1.0999999999999999,scam
1739,Lyon,380087,50,2015,1,1,0,3.7,high
1740,Paris,237493,27,2008,1,0,0,2.9000000000000004,medium
1741,Paris,433829,45,2010,1,0,0,3.2,medium
1742,Marseille,219555,60,2016,1,0,0,2.8,medium
1743,Lyon,227945,50,2012,1,0,0,2.9000000000000004,medium
1744,Marseille,627869,123,2020,2,1,0,4.199999999999999,high
1745,Marseille,266842,63,2005,2,0,0,2.5,medium
1746,Paris,255252,20,2013,1,0,0,3.4000000000000004,high
1747,Lyon,380619,50,2019,1,0,0,3.7,high
1748,Marseille,602041,106,2024,2,1,1,4.199999999999999,medium
1749,Lyon,212823,51,2017,1,1,0,3.0,low
1750,Paris,308299,29,2012,1,0,0,2.9000000000000004,medium
1751,Paris,984232,84,2016,1,0,1,4.0,medium
