id,city,number_of_rooms,area,price,years_of_construction,have_balcony,have_garage,rating,category
2540,Marseille,1,75,384286,2013,0,0,3.0,high
2541,Lyon,4,150,544106,2006,0,0,3.0,low
2542,Paris,2,57,611738,2014,0,0,3.5,medium
2543,Paris,1,20,211458,2007,0,0,2.6000000000000005,medium
2544,Paris,2,62,730200,2018,0,0,4.3,high
2545,Lyon,2,83,419903,2017,1,0,3.8,medium
2546,Marseille,1,77,342062,2016,1,0,3.0999999999999996,medium
2547,Marseille,2,60,303519,2024,0,0,3.5999999999999996,high
2548,Marseille,1,88,210451,2018,1,1,3.0999999999999996,low
2549,Marseille,2,100,268852,2020,1,1,3.3999999999999995,low
2550,Lyon,2,55,308532,2023,0,0,3.5,medium
2551,Marseille,2,118,603227,2014,0,1,3.5999999999999996,medium
2552,Marseille,3,156,773953,2019,1,0,4.199999999999999,high
2553,Lyon,1,74,428618,2024,1,0,3.5,medium
2554,Paris,2,66,796126,2013,0,0,4.0,high
2555,Paris,1,73,786696,2010,0,0,3.2,medium
2556,Paris,1,80,759867,2008,0,0,3.2,medium
2557,Paris,1,42,446863,2016,0,0,3.5,medium
2558,Marseille,3,110,359203,2011,1,1,3.3999999999999995,low
2559,Paris,1,20,249122,2022,0,0,3.7,high
2560,Marseille,3,129,755568,2023,1,1,4.699999999999999,high
2561,Lyon,2,95,515140,2008,1,0,3.5,medium
2562,Paris,2,91,868311,2006,1,0,3.5,medium
2563,Lyon,1,64,552200,2015,0,0,3.4000000000000004,high
2564,Lyon,2,133,1253912,2021,1,0,4.6,high
2565,Marseille,3,128,403113,2005,1,0,2.5999999999999996,low
2566,Lyon,2,94,559388,2015,1,0,3.5,medium
2567,Marseille,2,104,495492,2020,0,1,3.8999999999999995,medium
2568,Lyon,1,73,365908,2015,0,0,2.9000000000000004,medium
2569,Lyon,2,76,595038,2010,1,0,4.0,high
2570,Marseille,2,114,796236,2020,1,0,4.199999999999999,high
2571,Paris,1,79,513592,2012,0,0,2.7,low
2572,Marseille,3,160,833752,2008,0,0,3.5999999999999996,high
2573,Lyon,1,50,364429,2020,1,0,4.0,high
2574,Paris,1,69,877100,2021,0,0,4.0,high
2575,Marseille,2,107,427717,2011,1,1,3.8999999999999995,medium
2576,Marseille,4,159,714750,2016,1,1,4.499999999999999,medium
2577,Marseille,4,166,617940,2017,1,0,3.999999999999999,medium
2578,Lyon,3,121,580463,2015,1,1,3.8,low
2579,Paris,1,20,180792,2016,0,0,3.2,medium
2580,Paris,1,64,1074696,2022,0,0,1.5,scam
2581,Paris,1,47,449140,2015,0,0,3.2,medium
2582,Lyon,1,96,585391,2013,0,1,3.4000000000000004,medium
2583,Marseille,1,97,501291,2007,1,1,3.0,medium
2584,Marseille,3,122,582016,2008,1,1,3.8999999999999995,medium
2585,Paris,1,20,217802,2011,0,0,2.9000000000000004,medium
2586,Paris,1,39,489740,2011,0,0,3.4000000000000004,high
2587,Paris,2,62,772143,2020,0,0,4.3,high
2588,Lyon,2,98,700173,2024,1,1,4.3,medium
2589,Marseille,3,135,572881,2017,0,0,3.3999999999999995,medium
2590,Marseille,2,129,398254,2017,0,0,3.3999999999999995,medium
2591,Paris,1,65,639176,2005,0,0,2.9000000000000004,medium
2592,Marseille,2,105,473844,2010,0,1,3.5999999999999996,medium
2593,Marseille,1,88,462256,2024,1,0,3.5999999999999996,high
2594,Paris,2,88,682617,2006,1,0,3.0,low
2595,Lyon,3,112,859843,2022,0,1,4.8,high
2596,Marseille,2,60,240651,2009,1,0,3.0999999999999996,medium
2597,Paris,1,56,637301,2011,0,0,3.7,high
2598,Paris,1,73,1108859,2020,0,0,4.0,high
2599,Lyon,2,73,498707,2019,1,0,4.3,high
2600,Lyon,2,50,292889,2019,1,0,3.8,medium
2601,Paris,1,25,263680,2018,0,0,3.2,medium
2602,Paris,2,92,884147,2012,0,0,3.5,medium
2603,Lyon,3,136,900052,2022,1,0,4.6,high
2604,Marseille,2,84,349732,2022,0,1,3.5999999999999996,medium
2605,Marseille,2,65,275863,2005,0,0,2.5,medium
2606,Lyon,1,50,271409,2008,0,0,2.9000000000000004,medium
2607,Lyon,2,104,740155,2006,0,1,4.2,high
2608,Marseille,4,167,691370,2009,1,0,3.6999999999999993,medium
2609,Paris,1,46,412566,2013,0,0,3.2,medium
2610,Lyon,2,86,688926,2016,1,1,4.8,high
2611,Paris,2,61,548841,2012,0,0,3.5,medium
2612,Lyon,1,94,493503,2010,1,1,3.7,medium
2613,Paris,2,81,650435,2013,0,0,3.5,medium
2614,Paris,1,46,484616,2023,0,0,3.5,medium
2615,Lyon,1,53,288566,2020,1,0,3.5,medium
2616,Paris,1,67,646454,2005,0,0,2.9000000000000004,medium
2617,Marseille,2,67,313351,2017,0,0,3.5999999999999996,high
2618,Paris,1,97,1006096,2011,0,0,3.2,medium
2619,Paris,1,50,481674,2010,0,0,3.2,medium
2620,Paris,1,41,448433,2012,0,0,3.2,medium
2621,Paris,2,67,651567,2013,1,0,3.8,medium
2622,Marseille,2,74,289298,2006,1,0,2.8,medium
2623,Lyon,1,50,379568,2021,0,0,3.7,high
2624,Marseille,1,98,329948,2024,1,1,3.0999999999999996,low
2625,Paris,1,69,993126,2021,0,0,4.0,high
2626,Marseille,2,65,300964,2016,1,0,3.3999999999999995,medium
2627,Paris,1,80,729563,2015,0,0,3.2,medium
2628,Marseille,1,70,351742,2011,0,0,3.0,high
2629,Lyon,1,85,405121,2015,1,1,3.2,low
2630,Paris,1,78,666513,2006,0,0,2.9000000000000004,medium
2631,Marseille,3,124,548089,2015,1,1,3.8999999999999995,medium
2632,Paris,1,84,1117650,2022,0,0,4.0,high
2633,Marseille,2,60,198956,2007,0,0,2.5,medium
2634,Lyon,2,50,257674,2013,1,0,3.5,medium
2635,Lyon,1,50,239572,2012,0,0,2.9000000000000004,medium
2636,Marseille,3,146,644718,2006,0,0,3.3,high
2637,Lyon,3,102,430367,2017,1,0,3.5999999999999996,low
2638,Lyon,2,90,605692,2009,0,1,3.7,medium
2639,Paris,1,35,354392,2014,0,0,2.9000000000000004,medium
2640,Paris,1,63,749870,2011,0,0,3.7,high
2641,Lyon,2,120,556381,2024,0,0,3.8,medium
2642,Lyon,3,146,560222,2006,0,0,2.7,low
2643,Paris,2,77,1060185,2021,0,0,4.3,high
2644,Paris,1,39,458591,2015,0,0,3.4000000000000004,high
2645,Marseille,1,72,238508,2007,1,0,2.5,medium
2646,Lyon,2,115,390155,2006,1,0,3.0,low
2647,Marseille,2,60,397190,2020,1,0,3.8999999999999995,high
2648,Lyon,2,50,210504,2006,1,0,2.7,low
2649,Lyon,2,82,491260,2015,1,0,3.5,medium
2650,Lyon,2,86,554522,2020,1,0,4.3,high
2651,Lyon,2,89,288238,2018,0,1,3.5,low
2652,Paris,1,61,670533,2021,0,0,3.5,medium
2653,Marseille,3,111,174461,2008,1,1,3.3999999999999995,low
2654,Marseille,2,60,398374,2024,1,0,3.8999999999999995,high
2655,Marseille,3,165,443066,2019,0,1,3.3999999999999995,low
2656,Lyon,2,73,406661,2010,1,0,3.5,medium
2657,Paris,2,56,611609,2020,0,0,3.8,medium
2658,Lyon,1,93,593497,2023,1,1,4.0,medium
2659,Marseille,2,71,475527,2019,1,0,3.8999999999999995,high
2660,Lyon,2,56,316825,2009,1,0,3.5,medium
2661,Paris,1,24,299049,2009,0,0,3.4000000000000004,high
2662,Paris,2,52,442892,2014,1,0,3.8,medium
2663,Marseille,1,60,406600,2023,0,0,1.0,scam
2664,Lyon,1,89,676015,2018,1,1,4.5,high
2665,Marseille,2,137,608705,2008,1,0,3.3999999999999995,medium
2666,Marseille,3,112,317531,2007,0,0,2.3,low
2667,Lyon,3,100,473848,2005,1,1,3.2,low
2668,Lyon,1,87,627141,2020,1,1,4.0,medium
2669,Lyon,2,127,652014,2012,1,1,4.3,medium
2670,Paris,1,33,310139,2022,0,0,3.2,medium
2671,Paris,1,43,414756,2018,0,0,3.5,medium
2672,Lyon,2,81,588234,2023,1,0,4.3,high
2673,Lyon,3,137,998223,2021,1,0,4.6,high
2674,Marseille,3,145,257061,2005,1,1,3.0999999999999996,low
2675,Lyon,3,101,719241,2018,0,1,4.8,high
2676,Marseille,3,102,319341,2013,1,0,2.8999999999999995,low
2677,Lyon,2,50,270598,2005,1,0,3.2,medium
2678,Marseille,2,86,386627,2010,1,1,3.5999999999999996,medium
2679,Lyon,2,112,843531,2017,0,1,4.8,high
2680,Marseille,2,83,490646,2018,1,1,4.3999999999999995,high
2681,Marseille,2,91,326883,2019,0,1,3.5999999999999996,medium
2682,Marseille,3,140,677159,2018,1,1,4.199999999999999,medium
2683,Paris,1,29,264564,2008,0,0,2.9000000000000004,medium
2684,Marseille,2,72,209629,2005,1,0,2.3,low
2685,Lyon,1,82,436354,2017,0,1,3.7,medium
2686,Marseille,3,143,965633,2017,1,0,4.199999999999999,high
2687,Lyon,2,77,538011,2019,1,0,4.3,high
2688,Paris,2,57,397671,2005,0,0,2.7,low
2689,Paris,1,60,330716,2009,0,0,2.7,low
2690,Lyon,3,121,614275,2010,1,0,3.8,medium
2691,Marseille,2,141,396872,2008,0,1,3.0999999999999996,low
2692,Marseille,2,77,182802,2015,1,0,2.5999999999999996,low
2693,Paris,3,100,837079,2006,1,0,3.5,medium
2694,Paris,3,100,1182059,2006,0,0,3.7,high
2695,Marseille,2,136,491115,2011,1,0,3.3999999999999995,medium
2696,Lyon,2,106,845509,2023,0,1,4.8,high
2697,Lyon,2,65,516500,2021,1,0,4.3,high
2698,Paris,1,32,394754,2024,0,0,3.7,high
2699,Marseille,1,61,299211,2018,0,0,3.3,high
2700,Marseille,1,70,225414,2005,0,0,2.2,medium
2701,Lyon,1,69,392080,2009,1,0,3.2,medium
2702,Lyon,2,69,290624,2005,0,0,2.9000000000000004,medium
2703,Marseille,3,149,791179,2013,1,0,3.8999999999999995,high
2704,Lyon,2,64,343721,2009,0,0,3.2,medium
2705,Paris,1,59,483576,2007,0,0,2.9000000000000004,medium
2706,Marseille,3,138,719935,2024,1,0,4.199999999999999,high
2707,Lyon,3,109,536290,2012,1,0,3.8,medium
2708,Lyon,2,97,398046,2009,0,0,3.2,medium
2709,Lyon,3,106,638927,2014,1,0,3.8,medium
2710,Paris,2,80,598905,2010,0,0,3.5,medium
2711,Lyon,3,130,858620,2017,1,0,4.6,high
2712,Lyon,2,120,629866,2018,0,1,4.3,medium
2713,Lyon,2,87,335461,2012,1,0,3.0,low
2714,Lyon,2,107,789052,2019,1,0,4.6,high
2715,Marseille,2,113,376918,2009,0,0,3.0999999999999996,medium
2716,Lyon,1,50,241004,2023,0,0,3.2,medium
2717,Lyon,2,125,657139,2013,0,1,4.0,medium
2718,Marseille,2,60,192223,2008,1,0,2.5999999999999996,low
2719,Lyon,2,54,305687,2011,0,0,3.2,medium
2720,Paris,1,39,571017,2023,0,0,3.7,high
2721,Marseille,2,107,443450,2023,1,1,4.199999999999999,medium
2722,Marseille,2,63,297677,2018,0,0,3.5999999999999996,high
2723,Lyon,1,94,386474,2020,0,0,3.2,medium
2724,Lyon,2,85,331452,2011,0,0,3.2,medium
2725,Marseille,2,101,583379,2022,0,1,4.3999999999999995,high
2726,Marseille,2,106,420945,2017,0,1,3.8999999999999995,medium
2727,Lyon,1,55,380470,2014,0,0,3.4000000000000004,high
2728,Lyon,2,79,412852,2024,1,0,3.8,medium
2729,Marseille,1,89,424624,2012,1,1,3.3,medium
2730,Paris,1,46,511390,2009,0,0,3.7,high
2731,Lyon,1,55,356615,2011,1,0,3.7,high
2732,Paris,1,54,655342,2007,1,0,3.2,medium
2733,Marseille,2,140,464116,2011,1,0,3.3999999999999995,medium
2734,Lyon,2,63,410664,2020,0,0,4.0,high
2735,Lyon,1,50,350076,2012,0,0,3.4000000000000004,high
2736,Lyon,2,88,718784,2024,1,0,4.3,high
2737,Lyon,3,113,614992,2022,1,0,4.1,medium
2738,Lyon,1,64,288073,2010,0,0,2.9000000000000004,medium
2739,Marseille,1,60,279371,2005,1,0,2.5,medium
2740,Marseille,1,60,219632,2024,0,0,2.8,medium
2741,Lyon,1,50,320819,2017,1,0,4.0,high
2742,Paris,1,35,239663,2006,0,0,2.1000000000000005,low
2743,Marseille,2,60,246682,2012,0,0,2.8,medium
2744,Lyon,2,63,385707,2006,0,0,3.4000000000000004,high
2745,Marseille,2,117,452861,2018,1,0,3.6999999999999993,medium
2746,Lyon,1,50,265439,2024,0,0,3.2,medium
2747,Lyon,3,119,915837,2017,1,1,5.0,high
2748,Paris,1,84,906801,2020,0,1,4.0,medium
2749,Marseille,3,173,683122,2006,0,0,2.8,medium
2750,Lyon,2,91,605321,2011,1,1,4.0,medium
2751,Paris,2,66,604316,2005,0,0,3.2,medium
2752,Paris,1,47,521320,2005,0,0,2.9000000000000004,medium
2753,Lyon,1,50,235845,2021,0,0,3.2,medium
2754,Lyon,1,85,481670,2021,1,0,3.5,medium
2755,Marseille,1,60,247189,2012,0,0,2.5,medium
2756,Lyon,2,55,253202,2012,0,0,3.2,medium
2757,Paris,1,63,531507,2011,0,0,3.2,medium
2758,Lyon,2,50,208512,2005,1,0,2.7,low
2759,Paris,2,71,663560,2008,1,0,3.8,medium
2760,Lyon,3,102,541447,2018,1,0,4.1,medium
2761,Paris,1,91,1038728,2011,0,0,3.7,high
2762,Lyon,3,105,511321,2005,1,0,3.5,medium
2763,Paris,2,64,695626,2012,0,0,3.5,medium
2764,Marseille,1,62,301901,2012,1,0,3.3,high
2765,Marseille,2,75,256349,2014,1,0,3.0999999999999996,medium
2766,Paris,1,20,242905,2015,0,0,3.4000000000000004,high
2767,Marseille,2,60,205510,2018,0,0,3.0999999999999996,medium
2768,Marseille,2,68,328492,2017,0,0,3.5999999999999996,high
2769,Paris,2,59,644470,2012,0,0,3.5,medium
2770,Paris,1,46,489528,2017,0,0,3.5,medium
2771,Lyon,1,86,511055,2006,0,0,3.1000000000000005,high
2772,Paris,2,69,669756,2010,0,0,3.5,medium
2773,Marseille,2,60,290671,2005,0,0,3.0,high
2774,Lyon,3,101,408319,2006,1,1,3.5,low
2775,Lyon,1,54,289650,2006,0,0,2.6000000000000005,medium
2776,Marseille,2,92,320076,2007,0,0,2.5,medium
2777,Marseille,2,61,313052,2007,0,0,3.0,high
2778,Marseille,3,170,1141970,2015,1,0,3.8999999999999995,high
2779,Paris,1,58,671393,2007,1,0,3.2,medium
2780,Paris,1,23,299651,2017,0,0,3.7,high
2781,Lyon,3,112,570903,2007,1,0,3.5,medium
2782,Lyon,1,78,468614,2016,1,0,3.5,medium
2783,Lyon,2,55,313801,2008,0,0,3.2,medium
2784,Lyon,2,69,365712,2014,0,0,3.2,medium
2785,Paris,1,91,1247976,2022,1,0,4.3,high
2786,Marseille,2,82,289359,2011,0,1,3.3,medium
2787,Marseille,3,131,556985,2011,0,0,3.0999999999999996,medium
2788,Lyon,1,50,301166,2021,0,0,3.7,high
2789,Paris,1,72,691834,2006,0,0,2.9000000000000004,medium
2790,Marseille,2,96,441259,2009,1,0,3.0999999999999996,medium
2791,Paris,1,51,684475,2020,0,0,4.0,high
2792,Marseille,2,110,549269,2022,1,1,4.199999999999999,medium
2793,Lyon,2,72,354565,2018,0,0,3.5,medium
2794,Marseille,1,77,295130,2006,0,0,2.2,medium
2795,Marseille,2,60,198802,2018,1,0,3.3999999999999995,medium
2796,Lyon,1,89,523139,2015,1,0,3.2,medium
2797,Lyon,3,111,711255,2017,1,1,4.6,medium
2798,Lyon,3,101,573561,2019,1,0,4.1,medium
2799,Marseille,2,80,255617,2016,1,0,2.8999999999999995,low
2800,Marseille,2,134,517491,2006,1,0,3.0999999999999996,medium
2801,Marseille,1,92,429582,2016,1,1,3.5999999999999996,medium
2802,Lyon,1,60,350933,2009,0,0,3.4000000000000004,high
2803,Paris,1,82,926395,2014,0,0,3.7,high
2804,Paris,1,28,234985,2006,0,0,2.6000000000000005,medium
2805,Paris,2,63,839204,2021,0,0,4.3,high
2806,Marseille,3,152,772856,2015,1,1,3.8999999999999995,medium
2807,Paris,1,43,606269,2024,0,0,4.0,high
2808,Paris,2,79,608933,2007,0,0,3.2,medium
2809,Lyon,2,83,592464,2024,1,1,4.3,medium
2810,Paris,2,92,1384562,2019,0,1,4.8,high
2811,Lyon,1,68,417415,2011,0,0,3.4000000000000004,high
2812,Lyon,1,50,281595,2010,1,0,3.2,medium
2813,Paris,2,54,443879,2021,0,0,3.8,medium
2814,Marseille,2,74,214645,2007,0,0,1.9999999999999998,low
2815,Paris,1,81,859482,2019,1,0,3.8,medium
2816,Paris,1,39,305088,2013,0,0,2.9000000000000004,medium
2817,Lyon,3,117,602134,2008,1,0,3.8,medium
2818,Marseille,3,163,741717,2012,0,1,3.5999999999999996,medium
2819,Marseille,2,60,210274,2016,1,0,3.3999999999999995,medium
2820,Paris,1,20,160598,2013,0,0,2.9000000000000004,medium
2821,Lyon,2,88,444680,2006,1,0,3.2,medium
2822,Paris,2,58,749707,2023,0,0,4.3,high
2823,Paris,1,42,460121,2019,0,0,3.5,medium
2824,Marseille,2,94,416751,2018,0,1,3.5999999999999996,medium
2825,Paris,1,88,837649,2007,1,0,3.2,medium
2826,Paris,2,81,948765,2020,0,0,4.3,high
2827,Lyon,2,50,317085,2007,1,0,3.2,medium
2828,Lyon,3,110,762258,2021,1,0,4.6,high
2829,Marseille,2,95,322296,2010,1,1,3.0999999999999996,low
2830,Lyon,3,109,581698,2024,1,1,4.6,medium
2831,Marseille,2,81,411714,2013,1,1,3.5999999999999996,medium
2832,Paris,1,28,404831,2020,0,0,3.7,high
2833,Marseille,1,92,374748,2007,0,1,2.7,medium
2834,Marseille,2,110,631784,2006,1,0,3.5999999999999996,high
2835,Marseille,3,157,599735,2021,1,1,4.199999999999999,medium
2836,Paris,1,58,632710,2007,0,0,2.9000000000000004,medium
2837,Lyon,2,95,395259,2007,1,1,3.2,low
2838,Paris,1,37,414921,2013,0,0,3.4000000000000004,high
2839,Marseille,3,130,484700,2007,1,0,3.0999999999999996,medium
2840,Marseille,3,113,589693,2024,1,1,4.199999999999999,medium
2841,Marseille,2,79,341889,2023,0,0,3.0999999999999996,medium
2842,Marseille,2,60,331830,2013,0,0,3.3,high
2843,Paris,1,75,761961,2017,0,0,3.5,medium
2844,Marseille,1,96,509886,2017,0,0,3.3,high
2845,Lyon,2,108,561359,2015,1,1,4.3,medium
2846,Paris,2,56,827937,2024,0,0,4.3,high
2847,Marseille,2,60,239082,2014,0,0,2.8,medium
2848,Paris,1,84,1218322,2015,0,0,3.7,high
2849,Paris,2,74,668163,2005,0,0,3.2,medium
2850,Paris,1,47,428916,2013,0,0,3.2,medium
2851,Lyon,2,99,387497,2012,1,0,3.0,low
2852,Marseille,3,102,510182,2012,1,1,3.8999999999999995,medium
2853,Paris,2,79,891468,2021,0,0,4.3,high
2854,Paris,1,32,212305,2005,0,0,2.1000000000000005,low
2855,Lyon,1,74,258243,2007,1,0,2.4000000000000004,low
2856,Lyon,1,58,293141,2012,0,0,2.9000000000000004,medium
2857,Lyon,2,57,205912,2005,0,0,2.4000000000000004,low
2858,Lyon,1,73,467661,2021,0,0,3.7,high
2859,Lyon,2,66,392758,2012,0,0,3.7,high
2860,Paris,1,48,567159,2013,0,0,3.7,high
2861,Lyon,3,111,517470,2010,1,0,3.8,medium
2862,Paris,1,20,255267,2023,0,0,3.7,high
2863,Marseille,1,95,566800,2022,1,1,4.1,high
2864,Lyon,3,101,568612,2021,1,0,4.1,medium
2865,Lyon,3,128,805848,2015,1,1,4.3,medium
2866,Lyon,2,108,704494,2012,0,1,4.0,medium
2867,Paris,2,84,930348,2020,0,0,3.8,medium
2868,Marseille,2,121,415690,2012,1,0,3.3999999999999995,medium
2869,Marseille,1,87,244591,2020,1,1,3.0999999999999996,low
2870,Paris,2,61,782856,2017,0,0,4.3,high
2871,Lyon,2,67,361878,2008,1,0,3.5,medium
2872,Paris,1,55,650077,2015,0,0,3.7,high
2873,Lyon,2,62,293161,2010,0,0,3.2,medium
2874,Paris,1,43,667208,2021,0,0,4.0,high
2875,Lyon,1,61,386149,2023,0,0,3.7,high
2876,Lyon,2,68,266015,2024,0,0,3.5,medium
2877,Lyon,1,83,461944,2005,1,1,3.4000000000000004,medium
2878,Paris,1,20,175967,2010,0,0,2.9000000000000004,medium
2879,Marseille,2,78,430680,2008,1,0,3.5999999999999996,high
2880,Lyon,2,74,556093,2021,0,0,4.0,high
2881,Marseille,3,112,766978,2023,1,0,4.199999999999999,high
2882,Lyon,2,50,178712,2005,0,0,2.4000000000000004,low
2883,Paris,1,45,600649,2017,0,0,4.0,high
2884,Paris,1,61,747350,2022,0,0,4.0,high
2885,Lyon,2,93,480109,2015,1,0,3.5,medium
2886,Lyon,2,108,644648,2020,1,1,4.6,medium
2887,Marseille,2,70,251750,2013,0,0,2.8,medium
2888,Marseille,1,60,287277,2016,1,0,3.0999999999999996,medium
2889,Paris,1,40,372121,2006,0,0,2.9000000000000004,medium
2890,Lyon,1,98,662950,2015,1,0,3.7,high
2891,Paris,2,57,654047,2010,0,0,4.0,high
2892,Paris,1,44,537391,2024,0,0,4.0,high
2893,Lyon,2,88,686801,2014,1,1,4.5,high
2894,Paris,2,94,1132357,2008,1,0,3.8,medium
2895,Lyon,2,81,510308,2021,1,0,3.8,medium
2896,Paris,1,70,768826,2014,1,0,3.5,medium
2897,Lyon,2,106,805270,2023,0,1,4.8,high
2898,Lyon,1,90,377403,2015,1,0,2.7,low
2899,Paris,1,75,965718,2021,0,0,4.0,high
2900,Lyon,1,89,326160,2019,1,0,3.0,low
2901,Paris,1,55,664655,2019,1,0,3.8,medium
2902,Lyon,1,50,232325,2015,1,0,3.2,medium
2903,Lyon,1,87,414318,2007,0,0,2.6000000000000005,medium
2904,Paris,2,88,1124670,2022,0,0,4.3,high
2905,Marseille,3,113,463327,2010,0,1,3.5999999999999996,medium
2906,Lyon,2,115,605850,2016,0,0,3.8,medium
2907,Lyon,2,56,502103,2024,0,0,1.5000000000000002,scam
2908,Lyon,2,90,593186,2024,0,1,4.0,medium
2909,Marseille,3,135,588133,2020,1,1,4.199999999999999,medium
2910,Marseille,2,70,257279,2010,1,0,3.0999999999999996,medium
2911,Marseille,2,90,396949,2021,1,1,3.8999999999999995,medium
2912,Paris,1,69,765679,2008,0,0,3.2,medium
2913,Marseille,3,157,687373,2006,0,0,2.8,medium
2914,Lyon,3,127,569050,2012,1,1,3.8,low
2915,Paris,2,56,480168,2010,1,0,3.8,medium
2916,Lyon,2,50,317695,2018,0,0,4.0,high
2917,Lyon,1,55,364764,2012,0,0,3.4000000000000004,high
2918,Lyon,1,77,435226,2017,1,0,3.5,medium
2919,Marseille,2,125,600507,2021,0,0,3.8999999999999995,high
2920,Paris,2,56,455969,2008,0,0,3.5,medium
2921,Paris,1,46,669320,2022,0,0,4.0,high
2922,Paris,2,55,447117,2017,0,0,3.8,medium
2923,Lyon,2,88,430973,2017,0,0,3.5,medium
2924,Marseille,2,60,222973,2024,1,0,3.3999999999999995,medium
2925,Paris,2,54,877602,2022,0,0,4.3,high
2926,Marseille,2,84,411065,2017,0,0,3.5999999999999996,high
2927,Lyon,2,148,915521,2023,1,0,4.1,medium
2928,Lyon,3,124,582381,2009,1,1,3.8,low
2929,Lyon,1,50,406259,2012,1,0,3.7,high
2930,Paris,2,81,781101,2008,0,0,3.5,medium
2931,Marseille,2,60,330741,2018,1,0,3.8999999999999995,high
2932,Paris,1,31,414937,2020,0,0,3.7,high
2933,Marseille,2,60,178132,2010,0,0,2.8,medium
2934,Paris,1,47,426872,2008,0,0,3.2,medium
2935,Marseille,2,80,374776,2021,1,0,3.3999999999999995,medium
2936,Paris,2,75,699781,2023,1,0,4.1,medium
2937,Lyon,2,108,763676,2024,0,0,4.3,high
2938,Paris,1,20,243079,2017,0,0,3.7,high
2939,Marseille,2,60,224849,2007,0,0,2.5,medium
2940,Paris,1,66,739792,2018,0,0,4.0,high
2941,Lyon,2,50,285038,2006,0,0,2.9000000000000004,medium
2942,Paris,1,44,566684,2018,0,0,4.0,high
2943,Lyon,2,120,691532,2021,1,0,4.1,medium
2944,Lyon,2,86,569931,2020,1,1,4.3,medium
2945,Paris,2,81,764374,2007,0,0,3.2,medium
2946,Marseille,3,127,686145,2018,1,1,4.199999999999999,medium
2947,Lyon,3,104,581407,2012,0,0,3.5,medium
2948,Lyon,2,81,300582,2006,0,0,2.4000000000000004,low
2949,Paris,1,75,578128,2011,0,0,3.2,medium
2950,Marseille,1,96,364545,2012,1,0,2.8,medium
2951,Marseille,2,81,416292,2010,1,0,3.5999999999999996,high
2952,Marseille,2,77,474316,2021,0,0,3.5999999999999996,high
2953,Lyon,2,72,439877,2013,1,0,3.5,medium
2954,Lyon,1,83,413454,2006,1,1,2.9000000000000004,low
2955,Lyon,2,50,391898,2024,0,0,4.0,high
2956,Lyon,1,95,596474,2013,0,0,3.4000000000000004,high
2957,Marseille,1,69,220105,2007,1,0,1.9999999999999998,low
2958,Lyon,2,77,504913,2012,1,0,4.0,high
2959,Marseille,2,83,342178,2017,0,1,3.5999999999999996,medium
2960,Paris,1,59,782039,2013,1,0,4.0,high
2961,Paris,1,96,1181634,2013,0,0,3.7,high
2962,Paris,1,78,1084081,2020,0,0,4.0,high
2963,Paris,2,100,776891,2010,0,0,3.5,medium
2964,Paris,1,84,880283,2009,0,1,3.7,medium
2965,Marseille,1,92,476913,2017,1,0,3.5999999999999996,high
2966,Marseille,1,76,279593,2022,0,0,2.8,medium
2967,Marseille,1,95,540846,2017,1,0,3.5999999999999996,high
2968,Marseille,2,115,194396,2014,0,1,3.0999999999999996,low
2969,Paris,1,41,385497,2010,0,0,3.2,medium
2970,Lyon,1,95,473790,2009,0,1,3.4000000000000004,medium
2971,Marseille,3,109,491233,2019,0,1,3.8999999999999995,medium
2972,Marseille,2,114,409410,2013,1,1,3.3999999999999995,low
2973,Marseille,1,93,475100,2019,0,1,3.3,medium
2974,Lyon,3,105,509421,2005,0,1,3.7,medium
2975,Marseille,2,142,818626,2014,1,0,3.8999999999999995,high
2976,Lyon,2,55,352920,2016,1,0,4.3,high
2977,Paris,2,74,627672,2009,0,0,3.5,medium
2978,Lyon,1,59,193554,2006,0,0,2.1000000000000005,low
2979,Lyon,2,85,296272,2006,1,1,3.2,low
2980,Lyon,1,88,453061,2014,1,1,3.7,medium
2981,Lyon,2,75,320170,2019,1,0,3.8,medium
2982,Lyon,2,118,732348,2012,0,1,4.0,medium
2983,Paris,2,59,681530,2016,1,0,4.1,medium
2984,Lyon,1,50,243551,2010,0,0,2.9000000000000004,medium
2985,Lyon,2,90,459270,2005,1,1,3.7,medium
2986,Lyon,2,121,327658,2012,0,0,3.0,low
2987,Paris,1,46,526685,2017,0,0,4.0,high
2988,Lyon,2,50,369827,2019,0,0,4.0,high
2989,Marseille,1,63,224793,2017,0,0,2.8,medium
2990,Paris,2,60,561599,2016,0,0,3.8,medium
2991,Marseille,1,74,315020,2006,1,0,2.5,medium
2992,Marseille,3,169,184408,2011,0,1,3.0999999999999996,low
2993,Marseille,2,124,589336,2007,0,0,3.3,high
2994,Lyon,3,120,776492,2017,1,0,4.6,high
2995,Lyon,3,106,800048,2013,1,1,4.8,high
2996,Paris,1,71,760619,2013,0,0,3.2,medium
2997,Lyon,1,79,452241,2010,1,0,3.2,medium
2998,Paris,1,48,601244,2014,0,0,3.7,high
2999,Paris,2,66,959786,2019,0,0,4.3,high
3000,Paris,1,85,999069,2024,1,0,3.8,medium
3001,Lyon,3,108,663313,2011,0,1,4.0,medium
3002,Marseille,3,132,579413,2017,1,1,4.199999999999999,medium
3003,Lyon,2,100,771660,2023,0,1,4.5,high
3004,Marseille,1,98,263590,2018,0,1,2.8,low
3005,Marseille,2,60,269633,2016,0,0,3.5999999999999996,high
